"complaint-layer","username","js-tooltip","js-view-count","complaint-description","ellipsis-text","sv-model-button"
"Vodafone Tarife Ücretini Neredeyse 4 Katına Çıkarıyor! Bu Yasal Olamaz!","Şeyma","21 Temmuz 18:47","163","","","#Tarife Değişikliği"
"Vodafone Faturalı Hatta Geçiş Sorunu","Serap","21 Temmuz 18:46","174","Vodafone hattım sizin tarafınızdan faturasız hatta taşındı ve şimdi de faturalı hatta tarife teklifi çıkmıyor. Söylenip hattımı faturalı hatta taşımıy","...","#Faturalı Tarifeler"
"Vodafone Hediye Çeki Neden Gelmedi","Melik","21 Temmuz 18:40","127","Vodafone hediye çekim gelmedi, yardım olur musunuz? Bana Vodafone tarife değişikliği yaptım, bana 300 TL hediye çeki gelecekti ama gelmedi. Vodafone benim sorunumu çözsün lütfen, böyle bir şey görmedim. Daha önce Vodafone benimle iletişime geçsin lütfen. Teşekkürler.","","#Faturalı Tarifeler"
"Vodafone İnternetin Çok Hızlı Bir Şekilde Bitmesi","Nur","21 Temmuz 18:39","152","28 gün geçerli 10 GB kolay paket aldım birkaç saat içinde 4 GB biti bu normal değil internet var fakat internet su gibi akıyor. Bundan önce başka bir","...","#Kolay Paket"
"Vodafone'dan Kaynaklı Hatanın Faturasının Bana Kesilmesi","Hasan","21 Temmuz 18:33","608","2 ay kadar önce kullanmış olduğum hattımı internetten başvurarak kurye yoluyla Vodafone'a taşıdım ve şimdi Vodafone eksik evrak olduğu gerekçesiyle hattımı kısıtlayıp sadece gelen aramalara açık bırakarak beni mağdur etmektedir. Müşteri hizmetlerini aradığımda yetkili bir Vodafone bayisine gitmem ve","...",""
"Vodafone Kasko Paketi Sorumsuzluğu!","Merve","21 Temmuz 18:32","105","Vodafone'dan kasko paketi satın aldım, telefonumun sorunu olursa oradan karşılanacağı söylendi. Her ay ücretini faturama yansıttılar. Şimdi de iki faturam 1000 TL'ye yakın. Bu kasko paketini kullanamadığımı 50 defa söylememe rağmen yardımcı olunmadı. Bayiye götürün denildi, kaç tane bayiye götürdüm,","...","#Fatura"
"Vodafone Bilgim Dışında Üyelikler","Gazal","21 Temmuz 18:26","191","Merhaba peyo tmonz digital media Adroin reklam üyelikleri bilgim dışında yapılmış olup bu tutarların iade edilmesini istiyorum. Bu şirketler üyelikleri bilgim dışında yapılmıştır. Bunlardan dolayı hattım kısıtlanmış olup mağduriyetimin giderilmesini talep ederim.","","#Aşım Ücreti"
"Vodafone Abonelik Yenileme Teklifinde Yaşanan Sorun Ve Hayal Kırıklığı","Aydan","21 Temmuz 18:26","168","","","#Tarife Değişikliği"
"Vodafone Çark Hatası İle Mağduriyet","Zeynep","21 Temmuz 18:26","482","Vodafone hediye çarkı etkinliğinden yararlanamıyorum. Premium üyeyim. 2 aydan beri aynı hatayı alıyorum. ""Hay aksi hediye çarkında beklenmedik bir hata oluştu."" şeklinde bir hata. Müşteri hizmetlerini arıyorum. Düzeltmeye çalışıyoruz deniyor. Premium üyeyken de Premium hakkım yandı. Kaç kere kullana","...","#FreeZone"
"Vodafone A Asla Geçmeyin","Yasin","21 Temmuz 18:26","103","Vodafone müşteri hizmetlerine asla bağlanamıyorum l4net olsun böyle firmaya yeni hat aldım almaz olaydım. Hattımı iptal ettirmek istiyorum t. C. Hatalı deyip duruyor. Acil tarafıma iptal işlemleri için dönüş bekliyorum... Vodafone pişmanlıktır. Turkcell e kurban olayım ben.","",""
"Vodafone Mobil Ödeme İzinsiz Para Kesintileri Parmak Atmaca","Mucahid","21 Temmuz 18:25","258","Vodafone faturalı hattımdan mobil ödemede saçma sapan kesintiler oluyor. Müşteri hizmetlerine ulaşmak için 4.5 saat uğraştım. Bulabilene. Ne almışım ne tıklasam para kesiliyor. Ne pis bir şirket, uygun fiyatlı diye geçtik. Bizi çok mağdur etti. Bir rahat bırakın ya...","","#Mobil Ödeme"
"Vodafone Fahiş Fiyat Artışı","Ahmet","21 Temmuz 18:19","226","2 senedir kullanmış olduğum 187 TL'lik tarifemin bugün itibarıyla taahhüt süresinin dolduğunu, geçebileceğim en uygun tarifenin 800 TL olduğunu söylüy","...","#Taahhüt"
"Vodafone Haksız Yere Haberim İznim Olmadan Paramı Aldı Vermem Diyor","Muhammed","21 Temmuz 18:19","459","Vodafone mobil faturama öyle bir uygulama hem mobil ödeme servisi aboneliği hem oyun aboneliği hem de uygulama servisi diye üst üste üç abonelik ücreti birden çekmek suretiyle faturamı 4 katına çıkardı. Mobil ödeme servisini ben yapmadım, oyuna asla ne bir SMS ne de herhangi başka bir şeyle abone ol","...","#Mobil Ödeme"
"Vodafone Müşteri Hizmetlerine Bağlanmıyorum","Sinan","21 Temmuz 18:12","158","Vodafone müşteri hizmetlerine bağlanmak istiyorum, ne yaptıysam bağlanamıyorum. Yapay zekayla uğraştırıp duruyorlar. Ek paket alıyorum, aldığıma pişman oluyorum. İnternet çekmiyor, arama motoruna bir şey yazıyorum, 3 dakika sonra zor giriyor. Boşuna para ödüyoruz. Tarifem bittiği anda Vodafone hattı","...","#Mobil İnternet"
"Vodafone Tarife Zammı İtirazı","Cihan","21 Temmuz 18:12","122","Vodafone da başlamış fahiş zamlara, %200 zamma piyasa böyle diyor müşteri temsilcisi, tam bir semt pazarı pazarcısı gibi. Bu nasıl bir müşteri memnuni","...",""
"Vodafone Anormal Yüksek Yeni Tarife Fiyatları","Gözde","21 Temmuz 18:06","169","Vodafone Çok yüksek yeni tarife fiyatları istiyor. Kullandığım tarife 20 GB internet, 2000dk ve 5 gün önce sona ermiş. 180 TL ödediğim tarife aynı tarife için 540 TL fiyat vermiş Vodafone. Yeni tarifeye geçebilmek için Yanımda uygulamasına girdim. 580TL, 610 ve 919TL gibi yeni tarifler sunuyor bana.","...","#Faturalı Tarifeler"
"Vodafone Fatura İşlemi H","Ali","21 Temmuz 18:05","113","Müşteri hizmetleri ile görüşme yaptığım esnada görevim icabı telefonu kapatmak zorunda kaldım. Faturasız hatta geçmek için onay vermediğim halde nasıl olur da tarifem iptal edilir? Şu an görev yerimde beni mağdur etti. Müşteri hizmetlerinden gerekli işlemin yapılmasını talep ediyorum.","","#Fatura"
"Vodafone' Da Tarife Düşürme Yok.","Adil","21 Temmuz 18:05","240","7 ay önce telefon numaramı Vodafone'a taşıdım. 20 GB internet istedim. Orada çalışan kişi yanlışlıkla 10 GB internet yaptığını, artık geri alamayacağı","...","#Fatura"
"Vodafone Fahiş Tarife Ücreti","Selehattin","21 Temmuz 17:52","208","Fahiş tarife fiyatı. Devlet bile böyle zam yapmıyor hiçbir şeye. Mevcut tarifemin 4 katı böyle zam mı olur? Emekli maaşı ile geçinmeye çalışırken emekliye destek olacağına daha fazla köstek oluyor. Vodafone, zaten doğru düzgün hiçbir hakkımı kullanmıyorum. O zaman kullanmadığım haklarımı da silmeyin","...","#Tarife Değişikliği"
"Vodafone Pişmanlıktır, Kesinlikle Kimseye Tavsiye Edilmez","Emrah","21 Temmuz 17:51","1.952","Müşteri temsilcisine bağlanmak istiyorum. Tobi diye bir şey icat etmişsiniz, anlamıyor. Tarife sorunum var anlamıyor sadece konuşuyor sorunu çözemiyor, 1 dakika işlem için 1 saattir uğraşıyorum. Bir tane insan koyun, derdimizi anlatalım. Vodafone, kötü bir operatör.","","#Tarife Değişikliği"
"Vodafone Tarife Değişikliği Tarife Yetersizliği","Zeki","21 Temmuz 17:43","155","Kullandığım tarifeden memnun değilim. Dakika içeriği yetersiz geliyor. Fiyatı da oldukça yüksek geliyor. Çağrı merkezi ile görüşme yaptığımda yardımcı","...","#Tarife Değişikliği"
"14 Yıllık Vodafone Kullanıcısıyım, Tarife Değişikliği Beni Bitirdi","Alperen","21 Temmuz 17:30","463","Tarife ile ilgili uçuk rakamlar çıkıyor. Eşimin hattında her şey sınırsız 418 TL ödüyor. Ben 14 yıldır Vodafone kullanıyorum benim öyle bir seçeneğim","...","#Tarife Değişikliği"
"","Firdevs","21 Temmuz 17:23","19","","",""
"Vodafone Sınırsız İnternet Hotspot Sınırı","Begüm","21 Temmuz 17:22","658","Vodafone Red sınırsız internet paketim var ama paylaşım sinirim var. Öğrenciyim ve 3 aylığına başka şehre geldim. Bilgisayarımı kullanmam lazım ve paylaşım hakkım bitiyor. Müşteri hizmetlerine asla ulaşamıyorum. Sınırsız internete bu kadar para ödüyorken bilgisayarımda kullanamamak çok üzücü.","","#Red"
"Vodafone Yüksek Fatura Ücreti","Asem","21 Temmuz 17:22","222","Vodafone'da taahhüdüm bitti ancak bana sundukları tarifeler çok yüksek. Hiçbir şekilde uygun tarife sunmuyorlar. Tek önerdikleri bir tarife var, o da","...","#Fatura"
"Vodafone Fahiş Zam Oranı","Hakan","21 Temmuz 17:15","365","Uzun zamandır Vodafone GSM hattı kullanıyorum. Taahhütlü fiyatı 111,40 TL olan paketimin süresi dolduktan sonra müşteri hizmetlerini arayıp uygun olursa tekrar taahhüt vermek istediğimi söylemiş ve fiyat öğrenmek istemiştim. Bana çok fahiş fiyatlarla bana uygun olmayan yeni paketlere geçip taahhüt v","...","#Fatura"
"Vodafone Geçebileceğim Tarifeler Gözükmüyor","Mert","21 Temmuz 17:15","206","Bugün tarifem sona eriyor o yüzden başka tarifeye geçmek istiyordum ama maalesef Yanımda uygulaması geçebileceğim tarifeler kısmına girdiğimde geçebileceğiniz bir tarife yok cevabını veriyor Tobi'ye yönlendirildim tobi de tarife bilgisi sunmuyor çözüm istiyorum. İyi çalışmalar.","","#Yanımda"
"Vodafone GB Hediye Verilmedi","Zehra","21 Temmuz 17:15","301","Hediye çarkını çevirdim internet çıkmasına rağmen kullanamıyorum. Tarafıma ne bir SMS geldi ne de uygulamada hediye görünüyor. İnternete ihtiyacım var ve böyle bir sorun ile karşı karşıyayım lütfen bir an önce çözülmesini talep ediyorum. Bununla ilgili bana geri dönüş olursa sevinirim.","","#Hediye Çarkı"
"Vodafone, Astroloji Mesajları Yolluyor!","Caner","21 Temmuz 17:08","126","Vodafone, astroloji mesajları yolluyor! İptal edin dememe rağmen hala iptal etmediler. Aylar önce aldığım internet paketi yüzünden. Niye hala devam ediyor anlamıyorum. Uygulamaya girdiğimde iptal edebileceğim paketi göremiyorum. Aylardır iptal etmediler. Boşa para ödüyorum bu yüzden. Önceki şikayetl","...","#İnternet Paketi"
"Vodafone Yeter Artık!","Ekar","21 Temmuz 17:08","73","100 liralık tarife ücretim, hiçbir taahhüdüm ve imzam olmadan 300 liraya yükseltilmiş. Oysa tarife değişikliği yapılmaz ve onay verilmez ise mevcut tarife devam eder ve her yıl en fazla %15 oranında zam yapılabilir. Tarife faturalarımın düzeltilmişi lütfen.","","#Fatura"
"Vodafone 1 Yıl 121.60TL Anlaştığım Faturamı 230 TL Yükseltti","Semra","21 Temmuz 17:01","104","Vodafone 1 yıl vergiler dahil 121.60TL anlaştığım faturamı 3 ay sonra 235.00 TL olarak yükseltmesinden mağdurum. Bana 3 ay sonra yükselecek diye belirtilmedi. Ayrıca ben 120 TL inanmayıp tekrar arayıp teyit ettiğimde 1 yıl taahhüdüme vergiler dahil 121.60 TL olarak söylendi. Müşteri hizmetlerini ara","...","#Taahhüt"
"Vodafone Müşteri Sadakati Ve Tarife Politikaları","Abdullah","21 Temmuz 16:53","118","Vodafone'da Mobil hat kullanıcısıyım. Tarifem 263 TL iken şimdi taahhüdüm biteceği için aynı tarifeyi bana 590 TL den sunuyorlar. Açıkçası ben memurum ve bir senede benim maaşıma yüzde yüzün üzerinde zam gelmedi. Müşteri sadakatini bu kadar önemsemeyen ve modern işletme anlayışından uzak bir yapıda","...","#Faturalı Tarifeler"
"Vodafone Aynı Hattı 2 Farklı Kullanıcıya Kullandırtıyor.","Oğuzhan","21 Temmuz 16:46","98","Vodafone'dan 2019 aldığım yılında aldığım telefon numaram 21 Temmuz 2024 tarihinde fark ettiğim üzere bir başkası tarafından kullanılıyor. Aynı zamanda bende kullanıyorum fakat aramalar o şahsa gidiyor, ben arama yapabiliyorum. Şahsı aradığımda hattı 1 ay önce Vodafone'den aldığını söylüyor. Müşter","...",""
"Vodafone Bilgim Dışında Abonelikler Yapmış.","Murat","21 Temmuz 16:45","202","Vodafone hattımdan 21.07.2024 tarihinde bilgim ve onayım dışında mobil ödeme açılarak Dailyfunworld'e 239 TL, Alinmobi 239 TL, Portfun. Mobi-2 239 TL, mobil? Erik 239 TL olmak üzere toplam 4 siteye abonelikler yapılmış ve hattıma fatura olarak yansıtılmıştır. Bilgim ve onayım dışında yapılan bu işle","...","#Mobil Ödeme"
"Vodafone Sosyal Destek Engelli İndirimi","Uğur","21 Temmuz 16:39","488","Vodafone hattımı taşıdım engelli indirimi için evrak@Vodafone... E posta adresine dilekçe ve raporunuzu kimlik fotokopisini gönderin dediler. Aşağı yukarı bir hafta oldu engelli indirimim tanımlanmadı. Müşteri hizmetlerinin talimatlarını uyguladım ama hâlâ faturam ve tarifem normal, indirimli değil.","","#Engelli İndirimi"
"","Gökhan","21 Temmuz 16:32","3","","",""
"Vodafone Mevcut Müşteri Mağdur","Nurbanu","21 Temmuz 16:32","132","","","#SMS"
"Vodafone Haksız Faturalandırma Yapıyor","Feyyaz","21 Temmuz 16:31","105","21 Nisan 2024 tarihinde Vodafone Red30GB paketini 406 TL'ye geçiş yaptım. 12 ay taahhütlü bir şekilde bu pakete geçtim. 20 Temmuz 2024 tarihinde tarafıma paket ücretimin 550 TL olacağına dair Vodafone'dan mesaj geldi. Yapılan haksız faturalandırmanın durdurulmasını ve müşterilere daha doğru açıklama","...","#Fatura"
"Vodafone Pay Vodafone'dan Yaptığımı Blu TV Aboneliğini İptal Edemiyorum!","Bedri","21 Temmuz 16:31","198","Vodafone Pay üzerinden Blu TV aboneliği aldım. Aboneliği yaklaşık 20 gündür kullanıyorum. İkinci ay aboneliği kullanmak istemedim ve Vodafone'u aradım","...","#Yanımda"
"Vodafone Şikayetvar Tmonz Digital Media Ltd","Semih","21 Temmuz 16:25","156","21 Temmuz 2024 tarihinde tmonz digital media ltd abonesi oldum yanlışlıkla benden 239lira para kesintisi yaptı. Abonelik başlattı. Aboneliğimin iptalini istiyorum. Vodafone'un yardımcı olmasını istiyorum. Gmbt digital Media ltd aboneliğimi iptal ettiremiyorum Vodafone'un Benimle iletişime geçip yard","...",""
"Vodafone Geçebileceğim Tarife Önermiyor","Görkem","21 Temmuz 16:10","179","","","#Tarife Değişikliği"
"Vodafone Paramı İade Etmedi","Emrah","21 Temmuz 16:03","452","","","#Fatura"
"Vodafone Paket Öneri Sistemi","Şerife","21 Temmuz 16:03","313","Vodafone paket taahhüt sürem tamamlandı ancak yeni paket önerisi alamıyorum. Daha uygun bir tarife istiyorum fakat hiçbir öneri veya bilgi alamıyorum. Yeni müşterilere çok uygun fiyata dolu dolu paketler önerilirken, bizim gibi yedi-sekiz yıllık müşterilere hiçbir hak ve yeni indirim tanınmıyor. Pak","...","#Taahhüt"
"Vodafone' A Taşıdığım Hattımın Çözemedikleri Sorunu","Sevda","21 Temmuz 16:02","743","Vodafone Türkiye CEO'su Sn. E**** A**** Vodafone Türkiye Müşteri Operasyonları Başkan Yardımcısı Sn. L***** G***** Vodafone hattım açıldıktan 1 ay sonra eksik evrak nedeniyle kapatıldığı iletildi. 1 aydır kullanmakta olduğum hattım. Bireysel abonelik imzam eksikmiş. Antalya Terracity AVM bayisine g","...","#Cayma Bedeli"
"Vodafone SMS Gönderdi 380 TL 1 Yıl Taahhüt Diye;aradığımda 500 Lira","Muhammed","21 Temmuz 15:55","164","Vodafone 1 yıl taahhüde 380 lira fiyat taahhüt etti. Aradım, şimdi de 500 lira diyorlar. Yarın ararsam 600 liraymış, salı ararsam 700 liraymış, çarşamba arasam 900 lira böyle gidiyor. Hem 380 lira dediler. Ertesi gün arama imkanım oldu, 380 liradan 500 liraya çıktı. 1 günde 120 lira zam, gerçekten ç","...","#Taahhüt"
"Vodafone Uygulama Giriş Hatası","Umut","21 Temmuz 15:54","216","Vodafone Yanımda uygulamasında şifre değiştirme bilgisi geliyor ve yeni şifre verdiğimde bu hata mesajıyla karşılaşıyorum: Üzgünüz Invalid URL parameter format for null in request. Correct format is 9?0?5\d {9] ) Neden kaynaklandığını anlayamadım. Ne yaptıysam düzelmedi. Lütfen bilgi verir misini","...","#Yanımda"
"Vodafone Faturalı Hat Hakkında","Ramazan","21 Temmuz 15:54","150","Kötü bir hat. 330 TL 12 fatura dönemi anlaştım. Onay kodu geldiğinde, kendi firmalarının onay kodunu aynı zamana ayarlayarak onaylamamı sağladılar. Hi","...","#Faturalı Tarifeler"
"Vodafone 176 TL'lik Faturamız 12 Ay Boyunca Devam Edecekti 3 Ay Deneme Süresi","Aysel","21 Temmuz 15:54","79","Vodafone ile 176 TL karşılığında 3 aylık deneme sürecinde anlaşmıştık. Değişiklik yapmadığımız sürece 12 ay boyunca devam edecektik. Şu anda faturamız 213 TL olmuş. Bizim bilgimiz dışında bunun düzeltilmesini rica ediyoruz. Mobil ödemeyi kapattık, faturalarımız yine aşıyor. Yani gelen faturayı ödedi","...","#Taahhüt"
"Vodafone Otomatik SMS Onayı","Murat","21 Temmuz 15:46","128","Vodafone kullanıcısıyım ve işte çalışırken ödeme bildirimleri almaya başladım. Portfun Mobi-2 aboneliği diye kendi kendine abonelik başladı. Hemen Vodafone'u aradım ve mobil aboneliğin ödemesini kapattırdım ama faturama yansıyacak dendi. Bu durumu ben onay vermedim. Kendi kendine birçok reklam firma","...","#Fatura"
"Ardanuç'ta Vodafone Hat Kesintisi Sorunu","Berkan","21 Temmuz 15:46","145","Artvin ilinin Ardanuç ilçesinde yaşamaktayım. Yaklaşık 2 ay önce Türk Telekom'dan Vodafone'a geçtim. İlçemizden doğal sebeplerden ötürü elektrik kesin","...","#Şebeke"
"Vodafone İndirimli Tarife Değişikliği","Yunus","21 Temmuz 15:46","153","10 senelik Vodafone faturalı hat kullanıcısıyım. Bugün fatura taahhüdüm bitiyor ve tarafıma hiçbir indirimli tarife tanımlanamayacağı, boşlukta bir ta","...","#Tarife Değişikliği"
"Vodafone Ödenmeyecek Tutarda Fatura Kesintisi Sunmaları","Eylem","21 Temmuz 15:44","144","Nasıl lafa gireceğimi şaşırdım sinirden! Bana özel fatura sundunuz vergilerle beraber hem de! Utanmadan bugün fatura kesintisine bakıyorum 400 TL civarında vergi denilen saçmalıkla bana ödeme bilgisi geliyor. Tobi diye bir saçmalık çıkarmışsınız müşteri hizmetlerine bağlanmak istediğimiz halde gerek","...","#Fatura"
"Vodafone Yanımda Fırsatlar Dünyası Kısmından Çark Çeviremiyorum","Serhan","21 Temmuz 15:43","316","Ben Vodafone'a birkaç gün önce geçtim ve Çark çevirme yapmak istediğim zaman 'Hattınızı yeni aktive ettiğiniz için giriş bilgileriniz doğrulama aşamasındadır. Lütfen 2 gün sonra tekrar deneyiniz.' şeklinde bir uyarı alıyorum. Bu sorunun en kısa zamanda çözülmesini talep ediyorum.","","#Hediye Çarkı"
"Vodafone Palet Artışı Şikayeti","Melisa","21 Temmuz 15:43","161","31.06.2024 tarihine kadar kullandığım Vodafone güncel paketim hiçbir taahhüt bilgisi yapılmadan değişmiştir. Gücel ödediğim tutar 147 TL iken paket bitiminde güncel ödemem gereken tutar 540 TL olmuştur. 01.07.2024 öncesinde geçebileceğim tarifeler 300 350 bandında iken. 01.07.2024 tarihinden sonrası","...","#Taahhüt"
